id_lokala;jed;vrsta
3186;PEČEN KROMPIR;Vegetarijansko
3186;PREBRANAC ;Vegetarijansko
3186;VEGIBAB;Hitra hrana
3186;FALAFEL;Hitra hrana
3186;MEHIŠKA TORTILJA;Hitra hrana
3186;VEGIBURGER;Hitra hrana
3186;VEGI CHEESEBURGER;Hitra hrana
3186;GYROS;Hitra hrana
3186;HAPPY DOG;Hitra hrana
3186;GOLAŽ;Vegetarijansko
3186;POLENTA;Vegetarijansko
3186;ČUFTI;Vegetarijansko
3186;SARMA;Vegetarijansko
3186;MAC N CHEESE;Vegetarijansko
3186;PODVARAK;Vegetarijansko
1478;ŠPINAČNI ZAVITKI, PRILOGA;Vegetarijansko
1478;ZAVITKI S PAPRIKO, PRILOGA;Vegetarijansko
1478;MEŠANI ZAVITKI, PRILOGA;Vegetarijansko
1478;FATAJER Z MLADIM SIROM, PRILOGA;Vegetarijansko
1478;FATAJER Z ZELIŠČI, PRILOGA;Vegetarijansko
1478;FATAJER S ŠPINAČO, PRILOGA;Vegetarijansko
1478;FATAJER S PAPRIKO, PRILOGA;Vegetarijansko
1478;MEŠANI FATAJERJI, PRILOGA;Vegetarijansko
1478;FALAFEL, ZAVITEK, FATAJER, PRILOGA;Vegetarijansko
1478;OCVRTI JAJČEVCI IN SLADKI KROMPIRČEK, PRILOGA;Vegetarijansko
1478;PIŠČANČJE MLETO ŠIŠKEBAB MESO, PRILOGO;Meso
1478;TAJIN S PIŠČANCEM;Meso
1478;PANIRAN PIŠČANČJI ZREZEK, PRILOGA;Meso
1478;PIŠČANČJA BEDRA, PRILOGA;Meso
1478;ČIČERIKINA ENOLONČNICA;Mešano
1478;SOLATA S PIŠČANCEM;Solata
1478;SOLATA Z BOBOM IN OCVRTO ZELENJAVO;Solata
1478;PEČEN RIBJI FILE Z ZELENJAVO IZ PEČICE, COUSCOUS;Riba
1478;RIBJI FILE V OMAKI IZ SEZAMA, OCVRT KROMPIR, ;Riba
1478;PEČEN RIBJI FILE S SLADKIM KROMPIRJEM;Riba
1478;PEČEN RIBJI FILE, ČIČERIKIN PIRE;Riba
3075;DUNAJSKI ZREZEK S PRILOGO;Meso
3075;LIGNJI PO PARIŠKO, PRILOGA;Riba
3075;MALICA ŠEFA KUHINJE;Meso
3075;PIZZA KLASIKA;Pizza
3075;PIZZA ROLIZZA S ŠUNKO;Pizza
3075;PIZZA ROLIZZA VEGI;Pizza
3075;OCVRTI SIR S PRILOGO;Vegetarijansko
3075;OCVRT PIŠČANČJI ZREZEK S PRILOGO;Meso
3075;PIZZA ROLIZZA KLASIK;Pizza
3075;PIZZA ROLIZZA VEGI;Pizza
3075;NJOKI CARBONARA;Mešano
3075;TESTENINE NA BOLONJSKI NAČIN;Mešano
3075;PIZZA VEGETARIANSKA;Pizza
3075;PIZZA ROLIZZA 4 SIRI;Pizza
3075;PEČENE PERUTNIČKE S PRILOGO;Meso
3075;SOLATNI KROŽNIK;Vegetarijansko
3075;PIZZA MARGERITA;Pizza
3075;VEGANSKA PIZZA S TOFUJEM;Pizza
3075;TUNINA ROLIZZA;Hitra hrana
3075;MX2 CESAR SOLATA S PIŠČANCEM IN INČUNI;Solata
3163;MONGOLSKO PEČENO MESO + RIŽ;Meso
3163;RIŽEVI REZANCI Z ZELENJAVO IN JAJCI;Vegetarijansko
3163;HRUSTLJAVI RAKI + RIŽ;Riba
3163;PEČENI RIŽEVI REZANCI S PIŠČANCEM;Mešano
3163;SUHO PEČENA RACA (MALO PEKOČE) + RIŽ;Meso
3163;PIKANTNI PIŠČANEC + RIŽ;Meso
3163;SVINJINA S ČESNOM + RIŽ;Meso
3163;PEČEN RIŽ Z JAJCI;Vegetarijansko
3163;PEČENI REZANCI S PIŠČANCEM;Mešano
3163;PEČENI REZANCI Z ZELENJAVO IN JAJCI;Vegetarijansko
3163;RIŽ S PIŠČANCEM;Mešano
3163;TRI VRSTE MESA Z BAMBUSOM IN GOBAMI + RIŽ;Meso
3163;SAMOSTANSKA POJEDINA  + RIŽ;Vegetarijansko
3163;RIBJI CHOPSUI + RIŽ;Riba
3163;SIPA Z BAMBUSOM IN GOBAMI + RIŽ;Riba
3163;SKADKO-KISLA RIBA + RIŽ;Riba
3163;HRUSTLJAVI PIŠČANEC + RIŽ;Meso
3163;SVINJSKI CHOPSUI + RIŽ;Meso
3163;PIŠČANČJI CHOPSUI + RIŽ;Meso
3163;PIŠČANEC NA SEČANSKI NAČIN (PEKOČE) + RIŽ;Meso
3163;GOVEJI CHOPSUI + RIŽ;Meso
3163;GOVEDINA NA SEČANSKI NAČIN (PEKOČE) + RIŽ;Meso
3163;HRUSTLJAVA RACA + RIŽ;Meso
3163;ROČNI SUŠI – RAKCI, LOSOS;Riba
3163;RAKOV ROLL (8 KOSOV);Riba
3163;HOSOMAKI;Riba
3163;HOSOMAKI NAVADNI (8 KOSOV);Vegetarijansko
3163;SUŠI IZ RAKOVIC;Riba
3162;MONGOLSKO PEČENO MESO + RIŽ;Meso
3162;RIŽEVI REZANCI Z ZELENJAVO IN JAJCI;Vegetarijansko
3162;HRUSTLJAVI RAKI + RIŽ;Riba
3162;PEČENI RIŽEVI REZANCI S PIŠČANCEM;Mešano
3162;SUHO PEČENA RACA (MALO PEKOČE) + RIŽ;Meso
3162;PIKANTNI PIŠČANEC + RIŽ;Meso
3162;SVINJINA S ČESNOM + RIŽ;Meso
3162;PEČEN RIŽ Z JAJCI;Vegetarijansko
3162;PEČENI REZANCI S PIŠČANCEM;Mešano
3162;PEČENI REZANCI Z ZELENJAVO IN JAJCI;Vegetarijansko
3162;RIŽ S PIŠČANCEM;Mešano
3162;TRI VRSTE MESA Z BAMBUSOM IN GOBAMI + RIŽ;Meso
3162;SAMOSTANSKA POJEDINA  + RIŽ;Vegetarijansko
3162;RIBJI CHOPSUI + RIŽ;Riba
3162;SIPA Z BAMBUSOM IN GOBAMI + RIŽ;Riba
3162;SKADKO-KISLA RIBA + RIŽ;Riba
3162;HRUSTLJAVI PIŠČANEC + RIŽ;Meso
3162;SVINJSKI CHOPSUI + RIŽ;Meso
3162;PIŠČANČJI CHOPSUI + RIŽ;Meso
3162;PIŠČANEC NA SEČANSKI NAČIN (PEKOČE) + RIŽ;Meso
3162;GOVEJI CHOPSUI + RIŽ;Meso
3162;GOVEDINA NA SEČANSKI NAČIN (PEKOČE) + RIŽ;Meso
3162;HRUSTLJAVA RACA + RIŽ;Meso
3162;ROČNI SUŠI – RAKCI, LOSOS;Riba
3162;RAKOV ROLL (8 KOSOV);Riba
3162;HOSOMAKI;Riba
3162;HOSOMAKI NAVADNI (8 KOSOV);Vegetarijansko
3162;SUŠI IZ RAKOVIC;Riba
2821;MESNA PLOŠČA ZA DVE OSEBI Z MEŠANIM MESOM NA ŽARU, ZELENJAVO IN POMFRIJEM;Meso
2821;RIBJA PLOŠČA ZA 2 OSEBI Z MEŠ. RIBAMI, KALAMARI NA ŽARU, ZELENJAVO, POMFRIJEM IN KROMPIRJEM Z BLITVO;Riba
2821;ČEVAPČIČI Z AJVARJEM, ČEBULO IN POMFRIJEM;Meso
2821;FUŽI PO ISTRSKO (TARTUFATA, PRŠUT);Mešano
2821;NJOKI V OMAKI Z DIMLJENIM LOSOSOM IN POROM;Mešano
2821;OMBOLO PO DOMAČE (PRŠUT, SIR, PEČENO JAJCE) S KROMPIRJEVIMI KRHLJI;Meso
2821;OCVRTI KANELONI (ŠUNKA, SIR) S KROMPIRJEVO SOLATO;Meso
2821;BIO KROŽNIK (BELI SIR, POLENTA IN ZELENJAVA NA ŽARU);Vegetarijansko
2821;DOMAČI REZANCI S PESTOM GENOVESE;Mešano
2821;SOLATA Z GAMBERI IZ SLANICE;Solata
2821;SOLATA CAPRESE (PARADIŽNIK IN MOZZARELLA);Solata
2821;SOLATA VILLA DOMUS (S PIŠČANČJIMI TRAKCI);Solata
2821;TUNINA SOLATA;Solata
2821;GRŠKA SOLATA;Solata
1645;TESTENINE/NJOKI/RIŽOTA/POLNOZRNATE TESTENINE Z GORGOZOLO;Mešano
1645;TESTENINE/NJOKI/RIŽOTA/POLNOZRNATE TESTENINE Z MORSKIMI SADEŽI;Mešano
