id;ime;naslov;doplacilo;mesto
3175;URBAN&GREEN JAR PIE;Čopova 7;4.31;LJUBLJANA
3186;108;Ajdovščina 7;3.5;LJUBLJANA
1478;ABI FALAFEL;Trubarjeva cesta 40;4.3;LJUBLJANA
1772;AMBIENT;Topniška 29a;0.0;LJUBLJANA
3075;ANDIAMO;Puhova ulica 21;3.81;PTUJ
2247;AROMA, RESTAVRACIJA IN PIZZERIJA;Ribji trg 2;3.81;LJUBLJANA
2924;AULA COFE;Kardeljeva ploščad 5;0.0;LJUBLJANA
2147;AZIJSKA RESTAVRACIJA HAN;Kongresni trg 3;4.11;LJUBLJANA
2488;BALKAN EXPRESS;Šmartinska 152 g;4.31;LJUBLJANA
1817;BAR ENKA;Baragova 16;1.0;LJUBLJANA
3042;BAR MOMENT;Litostrojska cesta 44E;3.5;LJUBLJANA
2133;BARBADO;Dunajska cesta 106;4.3;LJUBLJANA
3163;BIG PANDA - DOSTAVA;Jurčičeva ulica 3;3.9;MARIBOR
3162;BIG PANDA RESTAVRACIJA;Jurčičeva ulica 3;3.9;MARIBOR
2926;BIGDIL COFE;Kardeljeva ploščad 17;0.0;LJUBLJANA
2862;BISTRO ARTY+;Slovenska ulica 20;4.31;MARIBOR
1465;BISTRO ŠUMI;Kardeljeva ploščad 5;3.5;LJUBLJANA
2821;BISTRO VILLA DOMUS;Vojkovo nabrežje 12;3.1;KOPER/CAPODISTRIA
1645;BOHOR;Kidričeva ulica 23;4.0;ROGAŠKA SLATINA
3109;BOLNIŠNIČNA RESTAVRACIJA SPLOŠNE BOLNIŠNICE JESENICE;Cesta maršala Tita 112;1.81;JESENICE
3173;BUREK OLIMPIJA RIMSKA;Rimska cesta 13;1.0;LJUBLJANA
3067;BURGER TIME;Trubarjeva 47;4.31;LJUBLJANA
1161;CANTANTE CAFE TABOR;Ulica Pariške komune 37;3.61;MARIBOR
1673;CANTANTE CAFE TABOR - DOSTAVA;Ulica Pariške komune 37;4.11;MARIBOR
3182;CANTINA MEXICANA KNAFELJ;Knafljev prehod 2;4.31;LJUBLJANA
3176;CANTINA QUE PASA;Trg osvobodilne fronte 13;3.5;LJUBLJANA
3160;CENTRALNA POSTAJA;Trubarjeva 23;4.31;LJUBLJANA
3171;CHUTYS EUROPARK MARIBOR;Pobreška cesta 18;4.3;MARIBOR
1568;CITY GRILL;Slovenska 18;3.01;MARIBOR
1569;CITY GRILL - DOSTAVA;Slovenska 18;3.51;MARIBOR
2243;CITYBURGER;Ankaranska 7;4.3;KOPER/CAPODISTRIA
3110;ČEVABDŽINICA SARAJEVO84;Nazorjeva ulica 12;3.9;LJUBLJANA
3114;ČEVABDŽINICA SARAJEVO84;Gramšijev trg 8;4.3;KOPER/CAPODISTRIA
3184;ČIN ČIN FOOD PORN;Tržaška cesta 2;4.31;LJUBLJANA
1485;DA BU DA, AZIJSKA RESTAVRACIJA;Šubičeva 1a;4.31;LJUBLJANA
2523;DIFOOD-EAT GOOD;Gortanova 21;1.7;LJUBLJANA
2315;DIFOOD-EAT GOOD -DOSTAVA;Gortanova 21;2.7;LJUBLJANA
1500;DIJAŠKI DOM IVANA CANKARJA;Poljanska cesta 26;3.0;LJUBLJANA
1090;DIJAŠKI DOM LIZIKE JANČAR;Titova cesta 24a;2.01;MARIBOR
1502;DIJAŠKI DOM POLJANE;Potočnikova ulica 3;2.2;LJUBLJANA
3145;DIJAŠKI DOM PORTOROŽ;Sončna pot 20;3.0;PORTOROŽ/PORTOROSE
2111;DIJAŠKI DOM TABOR;Vidovdanska 7;3.0;LJUBLJANA
1314;DIJAŠKI DOM VIČ;Gerbičeva 53;2.5;LJUBLJANA
1013;DIJAŠKI IN ŠTUDENTSKI DOM KOPER;Cankarjeva 5;2.4;KOPER/CAPODISTRIA
1501;DIJAŠKI IN ŠTUDENTSKI DOM NOVO MESTO;Šegova ulica 115;2.5;NOVO MESTO
1578;DOBROTE VZHODA;Celovška cesta 69 a;4.0;LJUBLJANA
2829;DOMAČA PEKARNA;Dunajska cesta 113;0.5;LJUBLJANA
2234;EAT SMART FERI;Koroška cesta 46;2.9;MARIBOR
2830;EKSPERIMENT RESTAVRACIJA & BAR;Slovenska cesta 10;4.3;LJUBLJANA
3129;EKSPERIMENT RESTAVRACIJA & BAR - DOSTAVA;Slovenska cesta 10;4.3;LJUBLJANA
3158;FAST FOOD MAGIC;Pristaniška ulica 2;2.0;KOPER/CAPODISTRIA
3165;FAST FOOD SLAST;Slovenska cesta 51;1.6;LJUBLJANA
2549;FASTFOOD AJDA;Trg OF 13;2.5;LJUBLJANA
2849;FORUM;Petkovškovo nabrežje 25;4.31;LJUBLJANA
2591;GARAČ - RESTAVRACIJA M;Šolska cesta 2;2.6;ŠKOFJA LOKA
2411;GOSTILNA IN PICERIJA JERNEJEV HRAM;Ljubljanska cesta 22;4.3;NOVO MESTO
2161;GOSTILNA IN PICERIJA PAVON;Njegoševa 6 K;4.31;LJUBLJANA
2594;GOSTILNA JAKA;Dolenjska cesta 103;4.0;LJUBLJANA
1988;GOSTILNA LEČNIK;Trg Svobode 4;3.31;RAVNE NA KOROŠKEM
