id;ocena
1478;5
1772;5
3075;3
2247;4
2924;4
2147;4
2488;4
1817;4
3042;5
2133;4
3163;4
3162;5
2926;4
2862;3
1465;4
2821;5
1645;4
3173;5
3067;4
1161;4
1673;4
3182;5
3176;5
3160;4
3171;5
1568;4
1569;4
2243;4
3114;4
1485;4
2523;4
2315;5
1500;5
1090;5
1502;4
3145;3
2111;5
1314;4
1013;3
1501;5
1578;5
2829;4
2234;5
2830;3
3165;5
2549;4
2849;4
2591;4
2161;4
2594;3
1988;5
2734;4
2543;4
2346;4
3123;5
1375;5
3126;5
1123;3
1124;3
3060;5
1834;5
1835;4
2995;5
1213;5
2403;5
1847;5
1188;2
1189;3
2525;4
2778;4
2519;4
2977;5
2668;4
2430;4
2735;3
2841;4
2842;5
3057;5
2358;4
2359;4
1145;5
2846;4
3137;5
2720;4
1386;4
3124;4
3125;4
2533;5
3062;5
1639;4
2581;4
3001;4
2396;4
2839;4
2775;5
2703;5
2644;4
3074;5
2264;5
2635;5
2950;4
3118;5
2933;5
1415;5
1346;4
2446;5
2853;5
2761;4
2762;5
1165;5
2265;4
1911;5
1610;4
2117;4
1164;4
1838;5
2772;5
1422;5
1421;5
3140;4
3063;5
3121;4
1110;2
2601;4
2203;5
3059;3
2844;3
2726;4
2640;4
2331;5
3076;4
2975;4
2875;4
3122;3
1182;4
1185;5
1184;5
1179;4
3107;4
2868;4
1341;4
1377;5
1342;4
2866;4
1381;4
1536;4
1379;4
1378;4
2253;4
2815;4
2648;5
3138;4
2597;4
1407;4
2023;5
2521;5
1474;5
1214;5
2542;5
3161;3
2828;5
2732;5
1683;3
2944;5
1615;4
2347;5
2650;5
3071;5
2652;5
1234;4
2360;5
1237;5
1238;4
3128;5
2302;4
2757;4
1925;4
2334;5
3035;5
2480;4
2705;4
3115;4
1471;3
2863;4
2623;4
1424;4
1983;5
1366;4
2248;5
2551;4
3142;3
2504;4
1794;4
1798;4
2185;4
2308;4
2736;4
1441;4
2284;5
3174;5
1292;5
1103;4
1305;5
1423;4
2661;2
2660;2
2165;4
2375;4
1335;3
1334;4
1011;5
1160;5
1861;5
2011;5
1031;4
1716;5
1717;4
1711;5
1994;4
1413;5
3181;5
3116;4
1176;5
3073;5
2983;2
2753;4
2204;4
2205;4
1265;5
2325;5
2651;4
2187;4
2531;4
2164;4
2501;4
2527;5
1626;5
1827;5
2097;5
3134;5
2843;4
3120;5
3036;5
3038;1
2343;5
1195;4
1369;4
1023;4
1198;4
1194;4
1197;4
1199;4
1025;5
1370;5
2040;4
1130;4
1768;5
2475;4
3068;5
2085;4
2649;4
2759;5
3144;5
2721;4
1382;5
3049;4
2619;4
2953;4
2229;5
1360;4
2180;5
1321;4
2959;3
2252;4
2884;5
2326;5
2131;5
2520;4
1367;4
1298;5
2854;4
1100;3
2698;4
3111;4
2739;4
2859;5
3072;4
2595;4
2552;5
2781;5
2921;4
2145;4
2641;5
2263;5
2115;5
2116;5
2569;4
2389;4
2714;4
2988;4
3090;4
2092;4
2213;4
2532;4
3064;4
1101;4
1262;4
2882;5
2932;3
3141;5
3002;4
3117;4
3061;4
2742;4
2599;5
1576;4
2298;5
3078;4
3077;5
1350;5
2952;5
2993;5
2009;4
2956;5
2535;5
2771;5
1791;5
2322;4
