id_lokala;Celiakiji prijazni obroki;Pizza;Kosilo;Solata;Odprt ob vikendih;Vegetarijansko;Dostava;Dostop za invalide;Dostop za invalide (WC);Nov lokal;Študentske ugodnosti
3175;Ne;Ne;Da;Ne;Da;Da;Ne;Da;Ne;Da;Ne
3186;Ne;Ne;Da;Da;Da;Da;Ne;Ne;Ne;Da;Ne
1478;Ne;Ne;Da;Ne;Da;Da;Ne;Da;Ne;Ne;Ne
1772;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Ne;Ne
3075;Ne;Ne;Da;Ne;Da;Ne;Ne;Da;Ne;Ne;Ne
2247;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Ne;Ne;Ne
2924;Ne;Ne;Da;Ne;Ne;Da;Ne;Ne;Da;Ne;Ne
2147;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Ne;Ne;Ne
2488;Ne;Ne;Da;Da;Da;Da;Ne;Ne;Ne;Ne;Ne
1817;Ne;Ne;Da;Ne;Ne;Da;Ne;Da;Ne;Ne;Ne
3042;Ne;Ne;Da;Ne;Ne;Da;Ne;Da;Ne;Ne;Ne
2133;Ne;Ne;Da;Ne;Ne;Da;Ne;Da;Ne;Ne;Da
3163;Ne;Ne;Da;Ne;Da;Da;Da;Ne;Ne;Da;Ne
3162;Ne;Ne;Da;Ne;Da;Da;Ne;Da;Ne;Da;Ne
2926;Ne;Ne;Da;Ne;Ne;Da;Ne;Ne;Da;Ne;Ne
2862;Ne;Ne;Da;Ne;Ne;Da;Ne;Ne;Ne;Ne;Ne
1465;Ne;Ne;Da;Da;Ne;Da;Ne;Da;Ne;Ne;Ne
2821;Ne;Ne;Da;Ne;Ne;Da;Ne;Da;Ne;Ne;Ne
1645;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Ne;Ne
3109;Ne;Ne;Da;Da;Ne;Da;Ne;Ne;Ne;Ne;Ne
3173;Ne;Ne;Da;Ne;Da;Ne;Ne;Ne;Ne;Da;Ne
3067;Ne;Ne;Da;Ne;Da;Da;Ne;Da;Ne;Ne;Ne
1161;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Ne;Ne;Ne
1673;Ne;Ne;Da;Ne;Da;Da;Da;Ne;Ne;Ne;Ne
3182;Ne;Ne;Da;Da;Da;Da;Ne;Da;Ne;Da;Ne
3176;Ne;Ne;Da;Ne;Da;Da;Ne;Da;Ne;Da;Ne
3160;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Ne;Da;Ne
3171;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Ne;Da;Ne
1568;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Da;Ne
1569;Ne;Ne;Da;Ne;Da;Da;Da;Ne;Ne;Da;Ne
2243;Ne;Ne;Da;Ne;Da;Da;Ne;Da;Ne;Ne;Da
3110;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Ne;Ne;Ne
3114;Ne;Ne;Da;Ne;Da;Da;Ne;Da;Ne;Ne;Ne
3184;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Ne;Da;Ne
1485;Ne;Ne;Da;Da;Da;Da;Ne;Ne;Ne;Ne;Ne
2523;Ne;Ne;Da;Ne;Da;Ne;Ne;Da;Ne;Ne;Ne
2315;Ne;Ne;Da;Ne;Ne;Ne;Da;Ne;Ne;Ne;Ne
1500;Ne;Ne;Da;Da;Ne;Da;Ne;Ne;Ne;Ne;Ne
1090;Ne;Ne;Da;Ne;Ne;Da;Ne;Ne;Da;Ne;Ne
1502;Ne;Ne;Da;Da;Ne;Ne;Ne;Ne;Da;Ne;Ne
3145;Ne;Ne;Da;Da;Ne;Da;Ne;Ne;Da;Ne;Ne
2111;Ne;Ne;Da;Da;Ne;Da;Ne;Ne;Ne;Ne;Ne
1314;Ne;Ne;Da;Da;Ne;Da;Ne;Da;Ne;Ne;Ne
1013;Ne;Ne;Da;Da;Ne;Da;Ne;Da;Ne;Ne;Ne
1501;Ne;Ne;Da;Da;Ne;Da;Ne;Ne;Da;Ne;Ne
1578;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Ne;Ne;Ne
2829;Ne;Ne;Da;Ne;Da;Ne;Ne;Da;Ne;Ne;Ne
2234;Ne;Ne;Da;Ne;Ne;Da;Ne;Ne;Ne;Ne;Ne
2830;Ne;Ne;Da;Da;Ne;Da;Ne;Ne;Ne;Ne;Ne
3129;Ne;Ne;Da;Ne;Ne;Da;Da;Ne;Ne;Ne;Ne
3158;Ne;Ne;Da;Ne;Da;Da;Ne;Da;Ne;Da;Ne
3165;Ne;Ne;Da;Ne;Da;Da;Ne;Da;Ne;Da;Ne
2549;Ne;Ne;Da;Ne;Da;Da;Ne;Da;Ne;Ne;Ne
2849;Ne;Ne;Da;Da;Da;Da;Ne;Ne;Ne;Ne;Ne
2591;Ne;Ne;Da;Ne;Ne;Da;Ne;Da;Ne;Ne;Ne
2411;Ne;Ne;Da;Da;Ne;Da;Ne;Ne;Da;Da;Ne
2161;Ne;Ne;Da;Da;Da;Da;Ne;Ne;Da;Ne;Ne
2594;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Ne;Ne;Ne
1988;Ne;Ne;Da;Ne;Da;Da;Ne;Da;Ne;Ne;Ne
2734;Ne;Ne;Da;Ne;Da;Da;Ne;Da;Ne;Da;Ne
2543;Ne;Ne;Da;Ne;Ne;Da;Ne;Da;Ne;Da;Ne
2346;Ne;Ne;Da;Ne;Ne;Da;Da;Ne;Ne;Da;Ne
3123;Ne;Ne;Da;Ne;Da;Ne;Ne;Da;Ne;Ne;Ne
1375;Ne;Ne;Da;Ne;Da;Da;Ne;Da;Ne;Ne;Ne
3126;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Ne;Ne;Ne
1123;Ne;Ne;Da;Da;Da;Da;Ne;Da;Ne;Ne;Ne
1124;Ne;Ne;Da;Ne;Da;Da;Da;Ne;Ne;Ne;Ne
3060;Ne;Ne;Da;Ne;Ne;Da;Ne;Ne;Ne;Ne;Ne
1834;Ne;Ne;Da;Ne;Da;Ne;Ne;Ne;Da;Ne;Ne
1835;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Ne;Ne
2995;Ne;Ne;Da;Da;Ne;Da;Ne;Ne;Ne;Ne;Ne
1213;Ne;Ne;Da;Da;Ne;Da;Ne;Ne;Da;Ne;Ne
2403;Ne;Ne;Da;Da;Da;Da;Ne;Ne;Ne;Ne;Ne
1847;Ne;Ne;Da;Da;Da;Da;Ne;Ne;Da;Ne;Ne
3119;Ne;Ne;Da;Ne;Da;Ne;Ne;Ne;Ne;Ne;Ne
1188;Ne;Ne;Da;Da;Ne;Da;Ne;Da;Ne;Ne;Ne
1189;Ne;Ne;Da;Ne;Ne;Da;Da;Ne;Ne;Ne;Ne
3168;Ne;Ne;Da;Ne;Da;Da;Da;Ne;Ne;Da;Ne
2525;Ne;Ne;Da;Ne;Da;Da;Da;Ne;Ne;Ne;Ne
2778;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Ne;Ne;Ne
2519;Ne;Ne;Da;Ne;Da;Da;Da;Ne;Ne;Ne;Ne
2977;Ne;Ne;Da;Ne;Ne;Da;Ne;Da;Ne;Ne;Ne
2668;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Ne;Ne;Da
2430;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Ne;Ne;Ne
2735;Ne;Ne;Da;Ne;Ne;Da;Ne;Ne;Ne;Ne;Ne
2841;Ne;Ne;Da;Ne;Da;Da;Ne;Da;Ne;Da;Ne
2842;Ne;Ne;Da;Ne;Da;Da;Da;Ne;Ne;Da;Ne
3057;Ne;Ne;Da;Da;Ne;Da;Ne;Ne;Da;Ne;Ne
2358;Ne;Ne;Da;Ne;Da;Da;Ne;Da;Ne;Ne;Da
2359;Ne;Ne;Da;Ne;Da;Da;Ne;Da;Ne;Ne;Da
1145;Ne;Ne;Da;Da;Da;Da;Ne;Ne;Da;Ne;Ne
2846;Ne;Ne;Da;Da;Ne;Da;Ne;Ne;Ne;Ne;Da
3137;Ne;Ne;Da;Ne;Da;Ne;Ne;Da;Ne;Ne;Ne
2720;Ne;Ne;Da;Ne;Ne;Da;Ne;Da;Ne;Ne;Ne
1386;Ne;Ne;Da;Da;Da;Da;Ne;Ne;Ne;Ne;Ne
3124;Da;Ne;Da;Da;Da;Da;Ne;Da;Ne;Ne;Ne
3125;Da;Ne;Da;Ne;Da;Da;Da;Ne;Ne;Ne;Ne
2533;Ne;Ne;Da;Ne;Ne;Da;Ne;Ne;Da;Ne;Ne
3062;Ne;Da;Ne;Da;Ne;Da;Ne;Da;Ne;Ne;Ne
1639;Ne;Ne;Da;Ne;Ne;Ne;Ne;Da;Ne;Ne;Ne
2581;Ne;Ne;Da;Ne;Ne;Da;Ne;Da;Ne;Ne;Ne
3001;Ne;Ne;Da;Da;Ne;Ne;Ne;Ne;Da;Ne;Ne
2396;Ne;Ne;Da;Da;Da;Da;Ne;Ne;Da;Ne;Ne
2839;Ne;Ne;Da;Ne;Ne;Da;Ne;Ne;Da;Ne;Ne
2775;Ne;Ne;Da;Ne;Da;Da;Da;Ne;Ne;Ne;Ne
2703;Ne;Ne;Da;Da;Da;Da;Ne;Da;Ne;Da;Ne
2644;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Ne;Ne;Ne
3074;Ne;Ne;Da;Da;Da;Da;Ne;Ne;Ne;Ne;Ne
2264;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Ne;Ne
2635;Ne;Ne;Da;Ne;Da;Da;Ne;Da;Ne;Ne;Ne
2950;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Ne;Ne
3118;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Ne;Ne
2933;Ne;Ne;Da;Ne;Da;Da;Ne;Da;Ne;Ne;Ne
1415;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Ne;Ne;Ne
1346;Ne;Ne;Da;Ne;Da;Da;Ne;Da;Ne;Ne;Ne
2446;Ne;Ne;Da;Ne;Da;Da;Ne;Da;Ne;Ne;Ne
2853;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Ne;Ne;Ne
2761;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Ne;Ne;Ne
2762;Ne;Ne;Da;Ne;Da;Da;Da;Ne;Ne;Ne;Ne
1165;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Ne;Ne;Ne
2265;Ne;Ne;Da;Ne;Da;Da;Da;Ne;Ne;Da;Ne
1911;Ne;Ne;Da;Ne;Da;Da;Ne;Da;Ne;Ne;Da
1610;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Ne;Ne;Da
2117;Ne;Ne;Da;Ne;Da;Da;Da;Ne;Ne;Ne;Da
1164;Ne;Ne;Da;Ne;Da;Da;Da;Ne;Ne;Ne;Da
1838;Ne;Ne;Da;Ne;Da;Da;Ne;Da;Ne;Da;Ne
2772;Ne;Ne;Da;Ne;Da;Da;Da;Ne;Ne;Da;Ne
1422;Ne;Ne;Da;Da;Ne;Da;Ne;Ne;Ne;Ne;Ne
1421;Ne;Ne;Da;Da;Ne;Da;Ne;Ne;Ne;Ne;Ne
3140;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Ne;Ne;Ne
3063;Ne;Ne;Da;Da;Ne;Da;Ne;Da;Ne;Ne;Ne
3121;Ne;Ne;Da;Ne;Da;Ne;Ne;Da;Ne;Ne;Ne
1110;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Ne;Da
2601;Ne;Ne;Da;Ne;Da;Ne;Ne;Da;Ne;Ne;Ne
2203;Ne;Ne;Da;Ne;Da;Da;Ne;Da;Ne;Ne;Da
3059;Ne;Ne;Da;Ne;Da;Ne;Ne;Da;Ne;Ne;Ne
2844;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Ne;Da;Ne
2726;Ne;Da;Ne;Ne;Da;Da;Ne;Ne;Ne;Ne;Ne
2640;Ne;Ne;Da;Da;Ne;Da;Ne;Ne;Ne;Ne;Ne
2331;Ne;Ne;Da;Ne;Da;Da;Ne;Da;Ne;Ne;Ne
3076;Ne;Ne;Da;Ne;Ne;Ne;Ne;Ne;Ne;Ne;Ne
2975;Ne;Ne;Da;Ne;Ne;Da;Ne;Da;Ne;Ne;Ne
2875;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Ne;Ne;Ne
3122;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Ne;Ne
1182;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Ne;Ne
1185;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Ne;Ne
1184;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Ne;Ne
1179;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Ne;Ne
3107;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Ne;Ne
2868;Ne;Ne;Da;Ne;Da;Ne;Ne;Ne;Da;Ne;Ne
1341;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Ne;Ne
1377;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Ne;Ne;Ne
1342;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Ne;Ne
2866;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Ne;Ne
1381;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Ne;Ne
1536;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Ne;Ne
3164;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Da;Ne
1379;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Ne;Ne
1378;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Ne;Ne
2253;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Ne;Ne
2815;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Ne;Ne
2648;Ne;Ne;Da;Ne;Ne;Da;Ne;Ne;Ne;Da;Ne
3138;Ne;Ne;Da;Ne;Ne;Ne;Ne;Ne;Ne;Ne;Ne
2597;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Ne;Ne;Ne
1407;Ne;Ne;Da;Ne;Da;Da;Ne;Ne;Da;Ne;Ne
2023;Ne;Ne;Da;Ne;Ne;Da;Ne;Ne;Da;Ne;Ne
2521;Ne;Ne;Da;Ne;Ne;Da;Ne;Ne;Da;Ne;Ne
1474;Ne;Ne;Da;Ne;Ne;Da;Ne;Ne;Da;Ne;Ne
1214;Ne;Ne;Da;Ne;Ne;Da;Ne;Ne;Ne;Ne;Ne
2542;Ne;Ne;Da;Ne;Ne;Da;Da;Ne;Ne;Ne;Ne
3161;Ne;Ne;Da;Ne;Ne;Da;Ne;Da;Ne;Da;Ne
